Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1998-99,22,GSW,NBA,SF,47,1058,16.6,0.487,0.025,0.388,12.9,17.6,15.2,5.9,1.9,1.1,12.8,22.2,,0.9,1.4,2.3,0.105,,-1.1,0,-1.1,0.2
1999-00,23,GSW,NBA,SF,43,1556,16.7,0.496,0.009,0.275,10.9,13.5,12.1,10.9,1,0.7,11.8,26,,1.1,0.3,1.4,0.043,,0.2,-2.1,-1.9,0.1
2000-01,24,GSW,NBA,SF,82,3394,19,0.499,0.113,0.295,8.1,14.8,11.2,9.5,1.7,0.6,8.9,27.9,,5.4,1.3,6.7,0.094,,2.1,-2.1,0,1.7
2001-02,25,GSW,NBA,SF,82,3033,17.1,0.516,0.153,0.32,7.3,12.5,9.8,9.6,1.2,1,9.3,24,,5.6,0.8,6.4,0.101,,1.8,-2,-0.2,1.4
2002-03,26,GSW,NBA,SF,82,3226,19,0.542,0.142,0.323,6.5,12.5,9.5,8.6,1.2,0.9,9.5,24.5,,8.2,0.3,8.5,0.126,,2.7,-2.4,0.3,1.9
2003-04,27,DAL,NBA,SF,82,2376,21.2,0.581,0.044,0.322,10.4,13.5,11.9,4.7,1.8,0.9,7.2,20.7,,8.1,1,9,0.183,,3.4,-1.9,1.4,2.1
2004-05 ★,28,WAS,NBA,PF,68,2605,16.9,0.506,0.175,0.249,6.7,16.1,11.2,10.7,1.1,0.5,8.2,24.1,,3.8,1.7,5.4,0.1,,0.6,-1.8,-1.2,0.5
2005-06,29,WAS,NBA,SF,82,3288,17.7,0.518,0.25,0.199,5.7,21.8,13.5,8.7,1.4,0.3,7.8,23.9,,4.9,3.2,8.2,0.119,,1,-1,0,1.6
2006-07,30,WAS,NBA,PF,70,2662,18.4,0.545,0.333,0.27,5.6,19,12.1,8.8,1.5,1,7.5,22.8,,5.2,1.6,6.8,0.123,,2.4,-1.5,0.9,1.9
2007-08 ★,31,WAS,NBA,PF,79,3061,20.3,0.525,0.25,0.309,8,23.3,15.4,7.2,1.9,0.9,6.6,25.9,,6,3.2,9.2,0.144,,1.8,-1.4,0.3,1.8
2008-09,32,WAS,NBA,PF,81,3096,20.6,0.549,0.221,0.314,7.2,20.5,13.7,9.1,1.6,0.7,7.1,25.9,,6.6,1.6,8.1,0.126,,2.8,-2.1,0.7,2.1
2009-10,33,TOT,NBA,PF,66,2406,17.3,0.529,0.238,0.29,6.6,20.1,13.4,6.1,1.5,0.7,7.2,23.9,,3,2.8,5.8,0.115,,0.6,-1.1,-0.5,0.9
2009-10,33,WAS,NBA,PF,41,1595,17.5,0.528,0.24,0.31,7,19.3,13.1,5.8,1.4,0.4,7.1,24.3,,2.3,1.4,3.7,0.112,,1.2,-1.7,-0.5,0.6
2009-10,33,CLE,NBA,PF,25,811,16.7,0.53,0.235,0.247,5.7,21.8,14.2,6.8,1.8,1.1,7.5,23.1,,0.7,1.4,2.1,0.122,,-0.5,-0.1,-0.6,0.3
2010-11,34,CLE,NBA,PF,56,1842,16.8,0.516,0.3,0.267,5.2,18.5,11.7,9.6,1.4,1.2,7.3,26,,1.5,1.1,2.6,0.067,,0.8,-1.7,-0.9,0.5
2011-12,35,CLE,NBA,PF,65,2151,16.1,0.481,0.256,0.26,6.3,15.7,10.8,11.9,1.2,1.5,7.2,26.2,,2.1,1,3.1,0.07,,0.7,-1.8,-1.1,0.5
2012-13,36,LAL,NBA,PF,76,1636,15.3,0.561,0.405,0.237,7.5,16.6,12.2,5,0.9,1,7.7,18.7,,3,1.3,4.3,0.126,,0.7,-1.8,-1.1,0.4
2013-14,37,LAC,NBA,PF,22,248,7.8,0.408,0.446,0.272,4.2,19.9,12.3,4.1,1.8,0.9,6.4,19.6,,-0.3,0.4,0.1,0.019,,-4.6,-1.4,-6,-0.2
Career,,,NBA,,1083,37638,18.1,0.523,0.198,0.285,7.3,17.2,12.2,8.5,1.4,0.8,8.2,24.4,,65,22.8,87.8,0.112,,1.5,-1.7,-0.2,17.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,WAS,NBA,,421,16307,18.7,0.529,0.244,0.272,6.7,20.2,13.3,8.6,1.5,0.6,7.4,24.5,,28.8,12.7,41.4,0.122,,1.7,-1.6,0.1,8.7
5 seasons,,GSW,NBA,,336,12267,18,0.513,0.11,0.312,8.2,13.7,10.9,9.2,1.4,0.8,9.8,25.3,,21.1,4.1,25.2,0.099,,1.7,-2,-0.3,5.2
3 seasons,,CLE,NBA,,146,4804,16.5,0.502,0.27,0.261,5.8,17.8,11.7,10.1,1.4,1.3,7.3,25.6,,4.3,3.4,7.7,0.077,,0.5,-1.5,-0.9,1.3
1 season,,DAL,NBA,,82,2376,21.2,0.581,0.044,0.322,10.4,13.5,11.9,4.7,1.8,0.9,7.2,20.7,,8.1,1,9,0.183,,3.4,-1.9,1.4,2.1
1 season,,LAL,NBA,,76,1636,15.3,0.561,0.405,0.237,7.5,16.6,12.2,5,0.9,1,7.7,18.7,,3,1.3,4.3,0.126,,0.7,-1.8,-1.1,0.4
1 season,,LAC,NBA,,22,248,7.8,0.408,0.446,0.272,4.2,19.9,12.3,4.1,1.8,0.9,6.4,19.6,,-0.3,0.4,0.1,0.019,,-4.6,-1.4,-6,-0.2
