Rk,Team,Wins,Losses,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,Golden State Warriors,28,1,29,7035,1217,2509,0.485,366,871,0.42,851,1638,0.52,523,693,0.755,320,1042,1362,826,246,196,465,604,3323,114.6
2,Oklahoma City Thunder,20,10,30,7275,1207,2561,0.471,225,641,0.351,982,1920,0.511,584,742,0.787,380,1066,1446,639,230,198,477,605,3223,107.4
3,Sacramento Kings,12,17,29,6985,1147,2504,0.458,237,661,0.359,910,1843,0.494,500,691,0.724,313,965,1278,707,241,114,479,600,3031,104.5
4,Houston Rockets,16,15,31,7515,1123,2576,0.436,322,954,0.338,801,1622,0.494,643,904,0.711,354,995,1349,662,315,166,522,677,3211,103.6
5,Phoenix Suns,12,19,31,7465,1201,2671,0.45,302,796,0.379,899,1875,0.479,509,678,0.751,326,1027,1353,641,281,124,527,655,3213,103.6
6,Boston Celtics,16,13,29,7010,1118,2568,0.435,272,809,0.336,846,1759,0.481,489,625,0.782,326,955,1281,710,286,139,450,638,2997,103.3
7,Indiana Pacers,16,12,28,6745,1058,2390,0.443,257,689,0.373,801,1701,0.471,503,672,0.749,294,936,1230,566,250,113,411,531,2876,102.7
8,New Orleans Pelicans,9,20,29,7010,1089,2448,0.445,254,715,0.355,835,1733,0.482,533,668,0.798,248,964,1212,617,213,148,405,633,2965,102.2
9,Los Angeles Clippers,17,13,30,7225,1126,2472,0.456,244,712,0.343,882,1760,0.501,568,839,0.677,290,989,1279,682,218,158,405,647,3064,102.1
10,Charlotte Hornets,15,13,28,6770,1032,2360,0.437,284,809,0.351,748,1551,0.482,506,657,0.77,248,983,1231,604,199,159,363,515,2854,101.9
11,Washington Wizards,13,14,27,6480,1015,2252,0.451,238,652,0.365,777,1600,0.486,483,634,0.762,239,854,1093,625,232,96,420,537,2751,101.9
12,San Antonio Spurs,25,6,31,7440,1240,2566,0.483,222,597,0.372,1018,1969,0.517,453,578,0.784,297,1135,1432,781,257,180,438,537,3155,101.8
13,Atlanta Hawks,19,12,31,7440,1174,2557,0.459,276,804,0.343,898,1753,0.512,519,651,0.797,257,994,1251,775,287,166,455,574,3143,101.4
14,Detroit Pistons,17,13,30,7375,1139,2666,0.427,260,777,0.335,879,1889,0.465,504,770,0.655,407,1019,1426,550,244,109,426,574,3042,101.4
15,Dallas Mavericks,16,13,29,7010,1076,2432,0.442,269,807,0.333,807,1625,0.497,516,653,0.79,252,1022,1274,631,201,107,396,571,2937,101.3
16,Minnesota Timberwolves,11,18,29,7060,1069,2390,0.447,152,470,0.323,917,1920,0.478,647,798,0.811,289,979,1268,615,203,139,432,653,2937,101.3
17,Portland Trail Blazers,11,20,31,7490,1162,2625,0.443,300,850,0.353,862,1775,0.486,508,692,0.734,366,1056,1422,638,192,125,485,694,3132,101
18,Orlando Magic,17,12,29,7060,1134,2520,0.45,228,639,0.357,906,1881,0.482,432,561,0.77,315,974,1289,648,252,153,429,616,2928,101
19,Cleveland Cavaliers,19,8,27,6555,1008,2246,0.449,260,736,0.353,748,1510,0.495,444,606,0.733,287,936,1223,609,177,104,389,549,2720,100.7
20,Chicago Bulls,16,11,27,6630,1022,2406,0.425,212,594,0.357,810,1812,0.447,459,600,0.765,308,1019,1327,612,179,165,390,517,2715,100.6
21,Toronto Raptors,18,12,30,7225,1063,2431,0.437,239,687,0.348,824,1744,0.472,627,789,0.795,306,1011,1317,529,263,134,422,588,2992,99.7
22,Denver Nuggets,12,17,29,6985,1064,2449,0.434,245,704,0.348,819,1745,0.469,503,669,0.752,334,957,1291,647,210,142,439,597,2876,99.2
23,New York Knicks,14,16,30,7225,1083,2513,0.431,221,663,0.333,862,1850,0.466,550,679,0.81,320,1005,1325,604,187,167,425,639,2937,97.9
24,Utah Jazz,12,15,27,6530,963,2191,0.44,209,575,0.363,754,1616,0.467,484,648,0.747,305,839,1144,485,224,125,398,589,2619,97
25,Brooklyn Nets,8,21,29,7010,1117,2496,0.448,152,476,0.319,965,2020,0.478,420,551,0.762,316,967,1283,624,234,118,437,536,2806,96.8
26,Milwaukee Bucks,12,18,30,7250,1118,2456,0.455,181,517,0.35,937,1939,0.483,481,622,0.773,291,907,1198,709,239,160,455,692,2898,96.6
27,Miami Heat,17,11,28,6745,1022,2211,0.462,177,554,0.319,845,1657,0.51,482,663,0.727,247,962,1209,547,189,197,395,488,2703,96.5
28,Los Angeles Lakers,5,25,30,7225,1056,2559,0.413,242,764,0.317,814,1795,0.453,533,705,0.756,312,964,1276,550,223,135,432,618,2887,96.2
29,Memphis Grizzlies,16,15,31,7440,1093,2528,0.432,168,537,0.313,925,1991,0.465,622,766,0.812,301,959,1260,641,275,129,425,658,2976,96
30,Philadelphia 76ers,1,30,31,7440,1047,2502,0.418,260,813,0.32,787,1689,0.466,480,696,0.69,302,989,1291,582,244,196,581,657,2834,91.4
