,3PAr,AST%,Age,BLK%,BPM,BR_player_id,DBPM,DRB%,DWS,FTr,G,Lg,MP,OBPM,ORB%,OWS,PER,Pos,STL%,Season,TOV%,TRB%,TS%,Tm,USG%,VORP,WS,WS/48
0,.000,5.8,22,2.5,-5.0,abdelal01,-0.7,23.4,0.5,.379,43,NBA,290,-4.2,10.4,0.0,13.1,PF,0.7,1990-91,14.0,17.0,.499,POR,22.1,-0.2,0.5,.079
1,.000,4.7,23,1.1,-3.9,abdelal01,-0.9,20.9,1.5,.280,71,NBA,934,-3.0,9.5,0.6,13.5,PF,1.3,1991-92,14.0,15.2,.533,POR,20.6,-0.5,2.1,.110
2,.002,3.0,24,1.2,-4.2,abdelal01,-1.9,18.1,1.3,.245,75,NBA,1311,-2.3,11.0,0.7,13.2,PF,1.0,1992-93,15.6,14.6,.551,TOT,20.5,-0.7,2.0,.074
3,.018,9.5,24,1.6,-4.3,abdelal01,-0.5,18.3,0.2,.286,12,NBA,159,-3.7,8.6,0.0,11.9,PF,1.9,1992-93,17.1,13.4,.508,MIL,20.5,-0.1,0.1,.035
4,.000,2.2,24,1.2,-4.1,abdelal01,-2.1,18.1,1.2,.240,63,NBA,1152,-2.1,11.3,0.7,13.4,PF,0.8,1992-93,15.4,14.8,.557,BOS,20.5,-0.6,1.9,.079
5,.000,2.7,25,1.2,-10.2,abdelal01,-3.1,24.2,0.1,.455,13,NBA,159,-7.1,8.5,-0.2,9.2,PF,0.6,1993-94,20.5,16.3,.485,BOS,22.6,-0.3,-0.1,-0.032
6,.009,5.0,26,1.8,-6.3,abdelal01,-1.7,17.4,0.7,.152,54,NBA,506,-4.6,8.7,-0.4,12.6,PF,1.5,1994-95,15.4,13.1,.519,TOT,25.6,-0.6,0.3,.027
7,.009,5.3,26,1.9,-5.0,abdelal01,-1.4,17.3,0.7,.159,51,NBA,476,-3.6,8.5,-0.1,14.1,PF,1.6,1994-95,14.5,13.0,.540,SAC,25.7,-0.4,0.6,.058
8,.000,0.0,26,0.0,-28.0,abdelal01,-6.9,19.6,0.0,.000,3,NBA,30,-21.1,11.6,-0.3,-12.5,PF,0.0,1994-95,31.3,15.5,.091,PHI,23.8,-0.2,-0.3,-0.466
0,,5.2,22,,,abdulza01,,,0.8,.290,49,NBA,945,,,-1.1,12.3,C,,1968-69,,,.407,TOT,,,-0.3,-0.016
