,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,BR_player_id,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Tm
0,6.8,.474,14.4,0.0,,0.0,1.5,22,1.5,abdelal01,7.7,6.8,.474,14.4,3.1,.568,5.5,43,0,NBA,290,3.4,4.8,16.8,PF,0.5,1990-91,2.7,11.0,POR
1,6.9,.493,13.9,0.0,,0.0,1.2,23,0.6,abdelal01,6.9,6.9,.493,13.9,2.9,.752,3.9,71,1,NBA,934,3.1,5.1,16.7,PF,1.0,1991-92,2.5,10.0,POR
2,6.7,.519,13.0,0.0,.000,0.0,0.7,24,0.7,abdelal01,5.8,6.7,.518,13.0,2.4,.759,3.2,75,52,NBA,1311,3.5,5.2,15.9,PF,0.7,1992-93,2.7,9.3,TOT
3,5.9,.473,12.5,0.0,.000,0.2,2.3,24,0.9,abdelal01,5.7,5.9,.464,12.7,2.7,.750,3.6,12,0,NBA,159,2.7,5.4,14.5,PF,1.4,1992-93,2.9,8.4,MIL
4,6.8,.525,13.0,0.0,,0.0,0.5,24,0.7,abdelal01,5.8,6.8,.525,13.0,2.4,.760,3.1,63,52,NBA,1152,3.6,5.2,16.1,PF,0.6,1992-93,2.6,9.4,BOS
5,5.4,.436,12.5,0.0,,0.0,0.7,25,0.7,abdelal01,7.7,5.4,.436,12.5,3.6,.640,5.7,13,0,NBA,159,2.7,4.5,14.5,PF,0.5,1993-94,3.8,10.4,BOS
6,8.4,.515,16.3,0.0,.000,0.1,0.9,26,0.9,abdelal01,5.5,8.4,.511,16.4,1.4,.571,2.5,54,0,NBA,506,2.6,7.4,18.2,PF,1.1,1994-95,3.2,8.1,TOT
7,8.8,.537,16.5,0.0,.000,0.2,1.0,26,0.9,abdelal01,5.4,8.8,.532,16.6,1.5,.571,2.6,51,0,NBA,476,2.6,7.7,19.2,PF,1.1,1994-95,3.0,8.0,SAC
8,1.2,.091,13.2,0.0,,0.0,0.0,26,0.0,abdelal01,6.0,1.2,.091,13.2,0.0,,0.0,3,0,NBA,30,3.6,2.4,2.4,PF,0.0,1994-95,6.0,9.6,PHI
0,,,,,,,1.4,22,,abdulza01,,5.5,.369,14.9,2.7,.619,4.3,49,,NBA,945,,4.4,13.6,C,,1968-69,,15.6,TOT
1,,,,,,,1.3,22,,abdulza01,,6.0,.419,14.3,0.7,.286,2.3,20,,NBA,108,,5.7,12.7,,,1968-69,,10.3,CIN
2,,,,,,,1.4,22,,abdulza01,,5.4,.363,14.9,2.9,.642,4.6,29,,NBA,837,,4.2,13.8,C,,1968-69,,16.3,MIL
3,,,,,,,1.4,23,,abdulza01,,5.2,.434,12.0,2.6,.643,4.1,80,,NBA,1637,,3.7,13.0,PF,,1969-70,,13.3,MIL
4,,,,,,,1.2,24,,abdulza01,,7.4,.441,16.8,3.9,.739,5.3,61,,NBA,1276,,3.3,18.8,C,,1970-71,,13.2,SEA
5,,,,,,,2.5,25,,abdulza01,,6.5,.429,15.2,3.1,.720,4.3,58,,NBA,1780,,3.6,16.1,C,,1971-72,,13.2,SEA
6,,,,,,,2.1,26,,abdulza01,,6.0,.397,15.0,4.8,.735,6.5,48,,NBA,900,,4.3,16.7,C,,1972-73,,12.2,HOU
7,,,,,,,2.4,27,1.5,abdulza01,9.7,4.9,.459,10.7,2.8,.804,3.5,79,,NBA,2459,3.8,3.3,12.7,C,1.2,1973-74,,13.5,HOU
8,,,,,,,2.1,28,1.8,abdulza01,8.3,5.8,.437,13.4,3.9,.783,5.0,65,,NBA,1450,3.8,3.2,15.6,C,0.9,1974-75,,12.1,HOU
9,,,,,,,2.6,29,2.4,abdulza01,7.4,5.7,.467,12.1,2.6,.552,4.7,27,,NBA,223,4.8,4.7,13.9,C,1.3,1975-76,,12.3,SEA
10,,,,,,,1.3,30,1.7,abdulza01,9.0,4.6,.338,13.7,6.1,.767,7.9,22,,NBA,195,7.6,3.9,15.3,C,0.6,1976-77,,16.6,BUF
11,,,,,,,2.3,31,0.7,abdulza01,7.1,5.2,.383,13.7,3.9,.739,5.2,16,,NBA,158,4.3,6.6,14.4,PF-C,0.7,1977-78,3.2,11.4,TOT
12,,,,,,,4.5,31,1.5,abdulza01,13.5,4.5,.231,19.5,3.0,.667,4.5,2,,NBA,24,9.0,6.0,12.0,C,1.5,1977-78,4.5,22.5,BOS
13,,,,,,,1.9,31,0.5,abdulza01,5.9,5.4,.426,12.6,4.0,.750,5.4,14,,NBA,134,3.5,6.7,14.8,PF,0.5,1977-78,3.0,9.4,HOU
0,9.6,.518,18.4,,,,3.4,22,,abdulka01,,9.6,.518,18.4,4.9,.653,7.6,82,,NBA,3534,,2.9,24.1,C,,1969-70,,12.1,MIL
1,11.6,.577,20.2,,,,3.0,23,,abdulka01,,11.6,.577,20.2,5.1,.690,7.5,82,,NBA,3288,,2.9,28.4,C,,1970-71,,14.4,MIL
2,11.6,.574,20.3,,,,3.7,24,,abdulka01,,11.6,.574,20.3,5.1,.689,7.4,81,,NBA,3583,,2.4,28.4,C,,1971-72,,13.5,MIL
3,10.9,.554,19.6,,,,4.2,25,,abdulka01,,10.9,.554,19.6,3.6,.713,5.1,76,,NBA,3254,,2.3,25.4,C,,1972-73,,13.5,MIL
