,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,BR_player_id,DRB,DRtg,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,ORtg,PF,PTS,Pos,STL,Season,TOV,TRB,Tm
0,9.1,.474,19.1,0.0,,0.0,2.0,22,2.0,abdelal01,10.2,103,9.1,.474,19.1,4.1,.568,7.2,43,0,NBA,290,4.4,99,6.4,22.2,PF,0.7,1990-91,3.6,14.7,POR
1,9.2,.493,18.7,0.0,,0.0,1.6,23,0.8,abdelal01,9.3,103,9.2,.493,18.7,3.9,.752,5.2,71,1,NBA,934,4.2,105,6.9,22.4,PF,1.3,1991-92,3.4,13.5,POR
2,9.4,.519,18.2,0.0,.000,0.0,1.0,24,1.0,abdelal01,8.1,108,9.4,.518,18.2,3.4,.759,4.5,75,52,NBA,1311,4.9,104,7.3,22.3,PF,1.0,1992-93,3.7,13.0,TOT
3,8.2,.473,17.3,0.0,.000,0.3,3.1,24,1.3,abdelal01,7.9,108,8.2,.464,17.6,3.8,.750,5.0,12,0,NBA,159,3.8,97,7.5,20.1,PF,1.9,1992-93,4.1,11.6,MIL
4,9.6,.525,18.3,0.0,,0.0,0.7,24,1.0,abdelal01,8.2,108,9.6,.525,18.3,3.3,.760,4.4,63,52,NBA,1152,5.0,105,7.2,22.6,PF,0.8,1992-93,3.7,13.2,BOS
5,7.6,.436,17.4,0.0,,0.0,0.9,25,0.9,abdelal01,10.7,108,7.6,.436,17.4,5.1,.640,7.9,13,0,NBA,159,3.8,86,6.3,20.2,PF,0.6,1993-94,5.4,14.5,BOS
6,12.1,.515,23.5,0.0,.000,0.2,1.3,26,1.2,abdelal01,7.9,105,12.1,.511,23.8,2.1,.571,3.6,54,0,NBA,506,3.8,94,10.7,26.3,PF,1.5,1994-95,4.6,11.7,TOT
7,12.8,.537,23.8,0.0,.000,0.2,1.4,26,1.3,abdelal01,7.9,105,12.8,.532,24.0,2.2,.571,3.8,51,0,NBA,476,3.7,98,11.1,27.7,PF,1.6,1994-95,4.4,11.6,SAC
8,1.8,.091,19.3,0.0,,0.0,0.0,26,0.0,abdelal01,8.8,113,1.8,.091,19.3,0.0,,0.0,3,0,NBA,30,5.3,26,3.5,3.5,PF,0.0,1994-95,8.8,14.1,PHI
0,,,,,,,3.1,27,1.9,abdulza01,12.2,96,6.2,.459,13.5,3.5,.804,4.4,79,,NBA,2459,4.8,,4.2,15.9,C,1.5,1973-74,,17.0,HOU
