id,Player,BR_player_id,From,To,Pos,Ht,Wt,Birth Date,College,active,shoots,draft_team,pick_order,draft_year_type
0,Alaa Abdelnaby,abdelal01,1991,1995,F-C,6-10,240,"June 24, 1968",Duke University,0,Right,Portland Trail Blazers,"1st round (25th pick,25th overall)",1990 NBA Draft
1,Zaid Abdul-Aziz,abdulza01,1969,1978,C-F,6-9,235,"April 7, 1946",Iowa State University,0,Right,Cincinnati Royals,"1st round (5th pick,5th overall)",1968 NBA Draft
2,Kareem Abdul-Jabbar*,abdulka01,1970,1989,C,7-2,225,"April 16, 1947","University of California, Los Angeles",0,Right,Milwaukee Bucks,"1st round (1st pick,1st overall)",1969 NBA Draft
3,Mahmoud Abdul-Rauf,abdulma02,1991,2001,G,6-1,162,"March 9, 1969",Louisiana State University,0,Right,Denver Nuggets,"1st round (3rd pick,3rd overall)",1990 NBA Draft
4,Tariq Abdul-Wahad,abdulta01,1998,2003,F,6-6,223,"November 3, 1974",San Jose State University,0,Right,Sacramento Kings,"1st round (11th pick,11th overall)",1997 NBA Draft
5,Shareef Abdur-Rahim,abdursh01,1997,2008,F,6-9,225,"December 11, 1976",University of California,0,Right,Vancouver Grizzlies,"1st round (3rd pick,3rd overall)",1996 NBA Draft
6,Tom Abernethy,abernto01,1977,1981,F,6-7,220,"May 6, 1954",Indiana University,0,Right,Los Angeles Lakers,"3rd round (9th pick,43rd overall)",1976 NBA Draft
7,Forest Able,ablefo01,1957,1957,G,6-3,180,"July 27, 1932",Western Kentucky University,0,Right,Syracuse Nationals,,
8,John Abramovic,abramjo01,1947,1948,F,6-3,195,"February 9, 1919",Salem International University,0,Right,,,
9,Alex Abrines,abrinal01,2017,2017,G-F,6-6,190,"August 1, 1993",,1,Right,Oklahoma City Thunder,"2nd round (2nd pick,32nd overall)",2013 NBA Draft
10,Alex Acker,ackeral01,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine University,0,Right,Detroit Pistons,"2nd round (30th pick,60th overall)",2005 NBA Draft
11,Don Ackerman,ackerdo01,1954,1954,G,6-0,183,"September 4, 1930",Long Island University,0,Right,New York Knicks,2nd round,1953 NBA Draft
12,Mark Acres,acresma01,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts University,0,Right,Dallas Mavericks,"2nd round (16th pick,40th overall)",1985 NBA Draft
13,Bud Acton,actonbu01,1968,1968,F,6-6,210,"January 11, 1942",Hillsdale College,0,Right,,,
14,Quincy Acy,acyqu01,2013,2017,F,6-7,240,"October 6, 1990",Baylor University,1,Right,Toronto Raptors,"2nd round (7th pick,37th overall)",2012 NBA Draft
15,Alvan Adams,adamsal01,1976,1988,C-F,6-9,210,"July 19, 1954",University of Oklahoma,0,Right,Phoenix Suns,"1st round (4th pick,4th overall)",1975 NBA Draft
16,Don Adams,adamsdo01,1971,1977,F,6-6,210,"November 27, 1947",Northwestern University,0,Right,San Diego Rockets,"8th round (1st pick,120th overall)",1970 NBA Draft
17,George Adams,adamsge01,1973,1975,F-G,6-5,210,"May 15, 1949",Gardner-Webb University,0,Right,Milwaukee Bucks,"3rd round (16th pick,46th overall)",1972 NBA Draft
18,Hassan Adams,adamsha01,2007,2009,G,6-4,220,"June 20, 1984",University of Arizona,0,Right,New Jersey Nets,"2nd round (24th pick,54th overall)",2006 NBA Draft
19,Jordan Adams,adamsjo01,2015,2016,G,6-5,209,"July 8, 1994","University of California, Los Angeles",1,Right,Memphis Grizzlies,"1st round (22nd pick,22nd overall)",2014 NBA Draft
20,Michael Adams,adamsmi01,1986,1996,G,5-10,162,"January 19, 1963",Boston College,0,Right,Sacramento Kings,"3rd round (19th pick,66th overall)",1985 NBA Draft
21,Steven Adams,adamsst01,2014,2017,C,7-0,255,"July 20, 1993",University of Pittsburgh,1,Right,Oklahoma City Thunder,"1st round (12th pick,12th overall)",2013 NBA Draft
22,Rafael Addison,addisra01,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse University,0,Right,Phoenix Suns,"2nd round (15th pick,39th overall)",1986 NBA Draft
23,Rick Adelman,adelmri01,1969,1975,G,6-1,175,"June 16, 1946",Loyola Marymount University,0,Right,San Diego Rockets,"7th round (1st pick,79th overall)",1968 NBA Draft
24,Jeff Adrien,adrieje01,2011,2015,F,6-7,245,"February 10, 1986",University of Connecticut,0,Right,,,
25,Arron Afflalo,afflaar01,2008,2017,G,6-5,210,"October 15, 1985","University of California, Los Angeles",1,Right,Detroit Pistons,"1st round (27th pick,27th overall)",2007 NBA Draft
26,Maurice Ager,agerma01,2007,2011,G,6-5,202,"February 9, 1984",Michigan State University,0,Right,Dallas Mavericks,"1st round (28th pick,28th overall)",2006 NBA Draft
27,Mark Aguirre,aguirma01,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul University,0,Right,Dallas Mavericks,"1st round (1st pick,1st overall)",1981 NBA Draft
28,Blake Ahearn,ahearbl01,2008,2012,G,6-2,190,"May 27, 1984",Missouri State University,0,Right,,,
29,Danny Ainge,aingeda01,1982,1995,G,6-4,175,"March 17, 1959",Brigham Young University,0,Right,Boston Celtics,"2nd round (8th pick,31st overall)",1981 NBA Draft
30,Matthew Aitch,aitchma01,1968,1968,F,6-7,230,"September 21, 1944",Michigan State University,0,Right,Detroit Pistons,"13th round (2nd pick,135th overall)",1967 NBA Draft
31,Alexis Ajinca,ajincal01,2009,2017,C,7-2,248,"May 6, 1988",,1,Right,Charlotte Bobcats,"1st round (20th pick,20th overall)",2008 NBA Draft
32,Henry Akin,akinhe01,1967,1969,C-F,6-10,225,"July 31, 1944",Morehead State University,0,Right,New York Knicks,"2nd round (1st pick,11th overall)",1966 NBA Draft
33,Josh Akognon,akognjo01,2013,2013,G,5-11,185,"February 10, 1986","California State University, Fullerton",0,Right,,,
34,Solomon Alabi,alabiso01,2011,2012,C,7-1,251,"March 21, 1988",Florida State University,0,Right,Dallas Mavericks,"2nd round (20th pick,50th overall)",2010 NBA Draft
35,Mark Alarie,alarima01,1987,1991,F,6-8,217,"December 11, 1963",Duke University,0,Right,Denver Nuggets,"1st round (18th pick,18th overall)",1986 NBA Draft
36,Gary Alcorn,alcorga01,1960,1961,C,6-9,225,"October 8, 1936","California State University, Fresno",0,Right,Detroit Pistons,"3rd round (2nd pick,16th overall)",1959 NBA Draft
37,Furkan Aldemir,aldemfu01,2015,2015,F-C,6-10,240,"August 9, 1991",,0,Right,Los Angeles Clippers,"2nd round (23rd pick,53rd overall)",2012 NBA Draft
38,Cole Aldrich,aldrico01,2011,2017,C,6-11,250,"October 31, 1988",University of Kansas,1,Right,New Orleans Hornets,"1st round (11th pick,11th overall)",2010 NBA Draft
39,LaMarcus Aldridge,aldrila01,2007,2017,F-C,6-11,260,"July 19, 1985",University of Texas at Austin,1,Right,Chicago Bulls,"1st round (2nd pick,2nd overall)",2006 NBA Draft
40,Chuck Aleksinas,aleksch01,1985,1985,C,6-11,260,"February 26, 1959",University of Connecticut,0,Right,Chicago Bulls,"4th round (7th pick,76th overall)",1982 NBA Draft
41,Cliff Alexander,alexacl01,2016,2016,F,6-8,245,"November 16, 1995",University of Kansas,1,Right,,,
42,Cory Alexander,alexaco01,1996,2005,G,6-1,185,"June 22, 1973",University of Virginia,0,Right,San Antonio Spurs,"1st round (29th pick,29th overall)",1995 NBA Draft
43,Courtney Alexander,alexaco02,2001,2003,G,6-5,205,"April 27, 1977","California State University, Fresno",0,Right,Orlando Magic,"1st round (13th pick,13th overall)",2000 NBA Draft
44,Gary Alexander,alexaga01,1994,1994,F,6-7,240,"November 1, 1969",University of South Florida,0,Right,,,
45,Joe Alexander,alexajo01,2009,2010,F,6-8,230,"December 26, 1986",West Virginia University,0,Right,Milwaukee Bucks,"1st round (8th pick,8th overall)",2008 NBA Draft
46,Victor Alexander,alexavi01,1992,2002,C-F,6-9,265,"August 31, 1969",Iowa State University,0,Right,Golden State Warriors,"1st round (17th pick,17th overall)",1991 NBA Draft
47,Steve Alford,alforst01,1988,1991,G,6-2,183,"November 23, 1964",Indiana University,0,Right,Dallas Mavericks,"2nd round (3rd pick,26th overall)",1987 NBA Draft
48,Bill Allen,allenbi01,1968,1968,C-F,6-8,205,,New Mexico State University,0,Right,,,
49,Bob Allen,allenbo01,1969,1969,F,6-9,205,"July 17, 1946",Marshall University,0,Right,San Francisco Warriors,"6th round (7th pick,71st overall)",1968 NBA Draft
50,Jerome Allen,allenje01,1996,1997,G,6-4,184,"January 28, 1973",University of Pennsylvania,0,Right,Minnesota Timberwolves,"2nd round (20th pick,49th overall)",1995 NBA Draft
51,Lavoy Allen,allenla01,2012,2017,F-C,6-9,260,"February 4, 1989",Temple University,1,Right,Philadelphia 76ers,"2nd round (20th pick,50th overall)",2011 NBA Draft
52,Lucius Allen,allenlu01,1970,1979,G,6-2,175,"September 26, 1947","University of California, Los Angeles",0,Right,Seattle SuperSonics,"1st round (3rd pick,3rd overall)",1969 NBA Draft
53,Malik Allen,allenma01,2002,2011,F-C,6-10,255,"June 27, 1978",Villanova University,0,Right,,,
54,Randy Allen,allenra01,1989,1990,F,6-8,220,"January 26, 1965",Florida State University,0,Right,,,
55,Ray Allen,allenra02,1997,2014,G,6-5,205,"July 20, 1975",University of Connecticut,0,Right,Minnesota Timberwolves,"1st round (5th pick,5th overall)",1996 NBA Draft
56,Tony Allen,allento01,2005,2017,G-F,6-4,213,"January 11, 1982",Oklahoma State University,1,Right,Boston Celtics,"1st round (25th pick,25th overall)",2004 NBA Draft
57,Willie Allen,allenwi01,1972,1972,F,6-6,230,"February 8, 1949",University of Miami,0,Right,Baltimore Bullets,"4th round (9th pick,60th overall)",1971 NBA Draft
58,Odis Allison,allisod01,1972,1972,F,6-6,195,"October 2, 1949","University of Nevada, Las Vegas",0,Right,Golden State Warriors,"5th round (8th pick,76th overall)",1971 NBA Draft
59,Lance Allred,allrela01,2008,2008,C,6-11,250,"February 2, 1981",Weber State University,0,Right,,,
60,Darrell Allums,allumda01,1981,1981,F,6-9,220,"September 12, 1958","University of California, Los Angeles",0,Right,Dallas Mavericks,"5th round (11th pick,103rd overall)",1980 NBA Draft
61,Morris Almond,almonmo01,2008,2012,G,6-6,225,"February 2, 1985",Rice University,0,Right,Utah Jazz,"1st round (25th pick,25th overall)",2007 NBA Draft
62,Derrick Alston,alstode01,1995,1997,F,6-11,225,"August 20, 1972",Duquesne University,0,Right,Philadelphia 76ers,"2nd round (6th pick,33rd overall)",1994 NBA Draft
63,Rafer Alston,alstora01,2000,2010,G,6-2,171,"July 24, 1976","California State University, Fresno",0,Right,Milwaukee Bucks,"2nd round (10th pick,39th overall)",1998 NBA Draft
64,Peter Aluma,alumape01,1999,1999,C,6-10,260,"April 23, 1973",Liberty University,0,Right,,,
65,John Amaechi,amaecjo01,1996,2003,C-F,6-10,270,"November 26, 1970",Pennsylvania State University,0,Right,,,
66,Ashraf Amaya,amayaas01,1996,1997,F,6-8,230,"November 23, 1971",Southern Illinois University,0,Right,,,
67,Al-Farouq Aminu,aminual01,2011,2017,F,6-9,220,"September 21, 1990",Wake Forest University,1,Right,Los Angeles Clippers,"1st round (8th pick,8th overall)",2010 NBA Draft
68,Lou Amundson,amundlo01,2007,2016,F,6-9,220,"December 7, 1982","University of Nevada, Las Vegas",0,Right,,,
69,Bob Anderegg,anderbo01,1960,1960,F-G,6-3,200,"August 24, 1937",Michigan State University,0,Right,New York Knicks,"3rd round (6th pick,20th overall)",1959 NBA Draft
70,Chris Andersen,anderch01,2002,2017,F-C,6-10,245,"July 7, 1978",Blinn College,1,Right,,,
71,David Andersen,anderda03,2010,2011,C,6-11,245,"June 23, 1980",,0,Right,Atlanta Hawks,"2nd round (8th pick,37th overall)",2002 NBA Draft
72,Alan Anderson,anderal01,2006,2017,G-F,6-6,220,"October 16, 1982",Michigan State University,1,Right,,,
73,Andrew Anderson,anderan01,1968,1970,G,6-2,184,"July 6, 1945",Canisius College,0,Right,Boston Celtics,"8th round (9th pick,88th overall)",1967 NBA Draft
74,Antonio Anderson,anderan02,2010,2010,G,6-6,215,"June 5, 1985",University of Memphis,0,Right,,,
