PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
"Stephen Curry, GS",72,34.0,0.670,20.3,10.1,31.5,2.9,13.6,8.5,31.70,757.2,25.2
"Kevin Durant, OKC",68,35.9,0.633,16.3,11.3,30.0,2.0,22.2,12.6,28.16,644.0,21.5
"Russell Westbrook, OKC",76,34.5,0.553,28.8,11.6,33.3,6.1,17.6,12.2,27.92,662.5,22.1
"LeBron James, CLE",71,35.5,0.579,21.2,10.2,31.3,4.6,18.8,11.7,27.17,627.9,20.9
"Kawhi Leonard, SA",67,32.7,0.619,12.0,6.9,24.0,4.7,18.6,11.9,26.20,512.8,17.1
"Chris Paul, LAC",69,33.0,0.573,33.3,9.0,28.2,1.8,12.0,6.9,26.16,515.4,17.2
"Hassan Whiteside, MIA",65,29.1,0.636,3.1,14.4,18.6,13.1,32.1,22.9,25.69,426.1,14.2
"Anthony Davis, NO",61,35.5,0.559,7.4,7.7,27.2,6.4,26.3,16.0,25.21,442.9,14.8
"James Harden, HOU",76,38.0,0.594,20.7,12.8,32.1,2.2,16.2,9.2,25.08,629.2,21.0
"DeMarcus Cousins, SAC",63,34.5,0.542,10.4,11.9,33.2,7.8,28.5,18.2,24.04,436.4,14.5
"Enes Kanter, OKC",76,20.7,0.623,3.6,11.6,21.9,16.5,24.9,20.9,23.99,313.9,10.5
"Blake Griffin, LAC",30,34.9,0.552,17.5,8.3,28.7,5.2,21.8,13.5,23.22,183.4,6.1
"Karl-Anthony Towns, MIN",75,31.7,0.596,9.4,11.4,23.0,10.5,27.1,18.9,23.00,440.2,14.7
"Kyle Lowry, TOR",72,37.3,0.582,23.3,10.5,26.1,2.3,12.6,7.5,22.69,468.0,15.6
"LaMarcus Aldridge, SA",69,30.5,0.565,8.2,6.9,23.8,9.1,22.3,16.0,22.49,345.3,11.5
"Jonas Valanciunas, TOR",53,26.0,0.609,6.0,11.1,19.2,13.9,26.4,20.2,22.47,243.8,8.1
"Damian Lillard, POR",69,35.9,0.561,21.1,10.1,31.2,1.9,10.6,6.2,22.38,420.6,14.0
"Brook Lopez, BKN",72,33.7,0.565,8.7,10.6,25.5,9.3,17.1,13.2,22.04,414.5,13.8
"Derrick Favors, UTAH",58,32.1,0.549,8.4,9.1,22.7,10.4,19.9,15.1,22.04,293.1,9.8
"Greg Monroe, MIL",73,29.7,0.562,12.6,9.2,22.2,10.9,23.8,17.4,22.01,369.0,12.3
"Andre Drummond, DET",75,33.1,0.507,4.2,10.3,22.7,15.6,34.3,24.6,21.84,416.1,13.9
"Isaiah Thomas, BOS",75,32.5,0.562,21.8,9.2,29.3,1.9,8.1,4.9,21.66,387.5,12.9
