Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,MP
1,Stephen Curry,2015-16,27,GSW,NBA,72,72,34.0,10.1,20.1,5.1,9.0,5.0,11.1,4.7,5.2,0.9,4.5,5.4,6.5,2.2,0.2,3.3,2.0,30.0,.505,.568,.454,.630,.901,.670,2451
2,Kevin Durant,2013-14,25,OKC,NBA,81,81,38.5,10.5,20.8,8.1,14.8,2.4,6.1,8.7,9.9,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32.0,.503,.549,.391,.560,.873,.635,3122
3,Adrian Dantley*,1980-81,24,UTA,NBA,80,,42.7,11.4,20.3,11.3,20.3,0.0,0.1,7.9,9.8,2.4,4.0,6.4,4.0,1.4,0.2,3.5,3.1,30.7,.559,.560,.286,.559,.806,.622,3417
4,Kiki Vandeweghe,1983-84,25,DEN,NBA,78,71,35.1,11.5,20.6,11.3,20.2,0.1,0.4,6.3,7.4,1.1,3.7,4.8,3.1,0.7,0.6,2.0,2.4,29.4,.558,.562,.367,.562,.852,.618,2734
5,Michael Jordan*,1988-89,25,CHI,NBA,81,81,40.2,11.9,22.2,11.6,21.0,0.3,1.2,8.3,9.8,1.8,6.2,8.0,8.0,2.9,0.8,3.6,3.0,32.5,.538,.553,.276,.546,.850,.614,3255
6,Larry Bird*,1986-87,30,BOS,NBA,74,73,40.6,10.6,20.2,9.4,17.2,1.2,3.0,5.6,6.1,1.7,7.5,9.2,7.6,1.8,0.9,3.2,2.5,28.1,.525,.547,.400,.555,.910,.612,3005
7,Larry Bird*,1987-88,31,BOS,NBA,76,75,39.0,11.6,22.0,10.3,18.9,1.3,3.1,5.5,6.0,1.4,7.8,9.3,6.1,1.6,0.8,2.8,2.1,29.9,.527,.546,.414,.556,.916,.608,2965
8,Kevin Durant,2009-10,21,OKC,NBA,82,82,39.5,9.7,20.3,8.1,16.1,1.6,4.3,9.2,10.2,1.3,6.3,7.6,2.8,1.4,1.0,3.3,2.1,30.1,.476,.506,.365,.514,.900,.607,3239
9,Michael Jordan*,1989-90,26,CHI,NBA,82,82,39.0,12.6,24.0,11.5,21.0,1.1,3.0,7.2,8.5,1.7,5.1,6.9,6.3,2.8,0.7,3.0,2.9,33.6,.526,.548,.376,.550,.848,.606,3197
10,Kareem Abdul-Jabbar*,1970-71,23,MIL,NBA,82,,40.1,13.0,22.5,13.0,22.5,,,5.7,8.3,,,16.0,3.3,,,,3.2,31.7,.577,.577,,.577,.690,.606,3288
11,Michael Jordan*,1990-91,27,CHI,NBA,82,82,37.0,12.1,22.4,11.7,21.3,0.4,1.1,7.0,8.2,1.4,4.6,6.0,5.5,2.7,1.0,2.5,2.8,31.5,.539,.551,.312,.547,.851,.605,3034
12,LeBron James,2009-10,25,CLE,NBA,76,76,39.0,10.1,20.1,8.4,15.0,1.7,5.1,7.8,10.2,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,.503,.560,.333,.545,.767,.604,2966
13,Michael Jordan*,1987-88,24,CHI,NBA,82,82,40.4,13.0,24.4,13.0,23.7,0.1,0.6,8.8,10.5,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3,35.0,.535,.546,.132,.537,.841,.603,3311
14,Kareem Abdul-Jabbar*,1971-72,24,MIL,NBA,81,,44.2,14.3,24.9,14.3,24.9,,,6.2,9.0,,,16.6,4.6,,,,2.9,34.8,.574,.574,,.574,.689,.603,3583
15,Patrick Ewing*,1989-90,27,NYK,NBA,82,82,38.6,11.2,20.4,11.2,20.4,0.0,0.0,6.1,7.9,2.9,8.0,10.9,2.2,1.0,4.0,3.4,4.0,28.6,.551,.552,.250,.551,.775,.599,3165
16,Bob McAdoo*,1973-74,22,BUF,NBA,74,,43.0,12.2,22.3,12.2,22.3,,,6.2,7.8,3.8,11.3,15.1,2.3,1.2,3.3,,3.4,30.6,.547,.547,,.547,.793,.594,3185
17,George Gervin*,1978-79,26,SAS,NBA,80,,36.1,11.8,21.9,11.8,21.9,,,5.9,7.1,1.8,3.2,5.0,2.7,1.7,1.1,3.6,3.4,29.6,.541,.541,,.541,.826,.591,2888
18,Dale Ellis,1988-89,28,SEA,NBA,82,82,38.9,10.5,20.9,8.5,16.7,2.0,4.1,4.6,5.6,1.9,2.3,4.2,2.0,1.3,0.3,2.7,2.4,27.5,.501,.507,.478,.549,.816,.589,3190
19,Oscar Robertson*,1967-68,29,CIN,NBA,65,,42.5,10.2,20.3,10.2,20.3,,,8.9,10.2,,,6.0,9.7,,,,3.1,29.2,.500,.500,,.500,.873,.588,2765
20,Shaquille O'Neal,1994-95,22,ORL,NBA,79,79,37.0,11.8,20.2,11.8,20.1,0.0,0.1,5.8,10.8,4.2,7.3,11.4,2.7,0.9,2.4,2.6,3.3,29.3,.583,.585,.000,.583,.533,.588,2923
21,George Gervin*,1979-80,27,SAS,NBA,78,,37.6,13.1,24.9,12.7,23.6,0.4,1.3,6.5,7.6,2.0,3.2,5.2,2.6,1.4,1.0,3.3,2.7,33.1,.528,.540,.314,.536,.852,.587,2934
22,Larry Bird*,1984-85,28,BOS,NBA,80,77,39.5,11.5,22.0,10.8,20.4,0.7,1.6,5.0,5.7,2.1,8.5,10.5,6.6,1.6,1.2,3.1,2.6,28.7,.522,.529,.427,.538,.882,.585,3161
23,Bernard King*,1984-85,28,NYK,NBA,55,55,37.5,12.6,23.7,12.5,23.5,0.0,0.2,7.7,10.0,2.1,3.7,5.8,3.7,1.3,0.3,3.7,3.5,32.9,.530,.534,.100,.531,.772,.585,2063
24,Oscar Robertson*,1966-67,28,CIN,NBA,79,,43.9,10.6,21.5,10.6,21.5,,,9.3,10.7,,,6.2,10.7,,,,2.9,30.5,.493,.493,,.493,.873,.583,3468
25,Michael Jordan*,1995-96,32,CHI,NBA,82,82,37.7,11.2,22.6,9.8,19.4,1.4,3.2,6.7,8.0,1.8,4.8,6.6,4.3,2.2,0.5,2.4,2.4,30.4,.495,.506,.427,.525,.834,.582,3090
26,Gilbert Arenas,2005-06,24,WAS,NBA,80,80,42.3,9.3,20.9,6.8,14.1,2.5,6.8,8.2,10.0,0.7,2.8,3.5,6.1,2.0,0.3,3.7,3.6,29.3,.447,.485,.369,.507,.820,.581,3384
27,Kareem Abdul-Jabbar*,1972-73,25,MIL,NBA,76,,42.8,12.9,23.3,12.9,23.3,,,4.3,6.1,,,16.1,5.0,,,,2.7,30.2,.554,.554,,.554,.713,.580,3254
28,Kobe Bryant,2006-07,28,LAL,NBA,77,77,40.8,10.6,22.8,8.8,17.6,1.8,5.2,8.7,10.0,1.0,4.7,5.7,5.4,1.4,0.5,3.3,2.7,31.6,.463,.497,.344,.502,.868,.580,3140
