RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
1,"Stephen Curry, GS",21,34.4,0.705,18.4,10.9,32.5,1.8,13.1,7.8,35.47,264,8.8
2,"Russell Westbrook, OKC",19,34.5,0.576,24.7,13.8,36.9,6.6,16.4,11.7,31.27,198.5,6.6
3,"Kevin Durant, OKC",13,35.2,0.647,12.9,9.6,28.7,0.8,22.2,11.8,30.64,137.3,4.6
4,"Blake Griffin, LAC",20,34.3,0.574,17.1,8.3,29.8,5.9,20.7,13.3,26.92,157.8,5.3
5,"Kawhi Leonard, SA",20,34.1,0.605,12.1,6.4,24.2,4.6,18.8,12.1,26.71,165,5.5
6,"LeBron James, CLE",19,36.9,0.561,19.6,10.6,32.4,4.7,18.8,11.8,26.49,167.6,5.6
7,"Derrick Favors, UTAH",17,32.2,0.584,8.8,8.5,22,10.5,22.1,16.2,26.45,122.1,4.1
8,"Paul George, IND",19,36.4,0.598,13.7,11.3,30.5,3.8,20.5,12.1,26.21,162.1,5.4
9,"Anthony Davis, NO",17,35.7,0.568,6.3,9.1,26.7,5.7,28.4,16.8,26.17,132.9,4.4
10,"Kyle Lowry, TOR",21,35.6,0.593,22.5,10.8,27,2.4,12.5,7.6,25.85,165.8,5.5
11,"James Harden, HOU",21,39.2,0.568,18.3,12.3,32.9,2.6,15.8,9,25.48,184,6.1
12,"Hassan Whiteside, MIA",18,28.7,0.601,1.7,15,18.4,11.5,29.5,20.8,25.34,113.8,3.8
13,"DeMarcus Cousins, SAC",13,32.2,0.539,9.6,10.6,34.1,7.7,28.2,17.9,24.64,82.2,2.7
14,"Andre Drummond, DET",20,35.4,0.504,4,10.7,23.9,15.8,36.7,25.5,24.32,145,4.8
15,"Paul Millsap, ATL",22,33.7,0.572,16,11.2,23.3,9.3,21.7,15.6,23.46,132.5,4.4
16,"Enes Kanter, OKC",19,20.9,0.616,6.3,11.3,21,16.8,25.8,21.4,23.42,76,2.5
17,"Chris Paul, LAC",15,31.3,0.571,32.2,9.9,25.7,1.6,10.5,6.1,23.37,86.6,2.9
18,"Clint Capela, HOU",21,19.4,0.608,7.7,9.5,15.4,13.4,23.4,18.3,22.76,74.1,2.5
19,"Greg Monroe, MIL",21,31,0.541,12.6,9,22.7,11,25.5,18.2,22.45,115.4,3.8
,"Isaiah Thomas, BOS",20,31.2,0.546,22.8,8.9,29.8,1,7,3.9,22.45,106.6,3.6
21,"Eric Bledsoe, PHX",19,35.2,0.574,22,12.5,27.6,1.9,10.2,6,22.43,114,3.8
22,"Reggie Jackson, DET",20,31.6,0.536,23.1,11.4,31,2,12.7,7,22.1,104.5,3.5
23,"Dirk Nowitzki, DAL",19,30.1,0.599,10.6,5.5,21.3,2.5,22.7,12.9,21.99,89.5,3
24,"Damian Lillard, POR",21,36.6,0.544,21.5,10.7,31,2,10.9,6.5,21.82,124,4.1
25,"Chris Bosh, MIA",18,33,0.56,11.3,5.9,21.6,3.3,25.3,14.7,21.62,89.7,3
