aquired,date,notes,relinquished,team
,2001-09-13,compound dislocation of left index finger (out 2 weeks),Michael Olowokandi,Clippers
,2001-09-18,left foot inflammation (out 2 weeks),DeSagana Diop,Cavaliers
,2001-09-25,arthroscopic surgery on right shoulder to repair small tear (out 6-8 weeks),Aaron McKie,76ers
,2001-09-25,arthroscopic surgery on right elbow to remove bone spurs (out 4-6 weeks),Allen Iverson,76ers
,2001-10-01,torn ACL in left knee (out indefinitely) (date approximate),Jamal Crawford,Bulls
,2001-10-02,disloacted right thumb (out indefinitely),Ernest Brown,Heat
,2001-10-02,broken third metacarpal bone in right hand,Darrick Martin,Mavericks
,2001-10-10,surgery on right ring finger (out 10 weeks),Ron Artest / Metta World Peace,Bulls
,2001-10-12,surgery on left knee to repair partially torn patella tendon and arthroscopic surgery on right knee to clean out loose debris (out 3-4 months),Antonio McDyess,Nuggets
,2001-10-14,sprained left ankle (out 4-6 weeks),Chris Webber,Kings
,2001-10-16,multiple fractures in left thumb (out indefinitely),Eric Snow,76ers
,2001-10-16,surgery to repair broken right finger (out 2 weeks),Dan Majerle,Suns
,2001-10-16,torn ligament in left thumb (out 3 weeks),Brendan Haywood,Wizards
,2001-10-17,sprained left knee (out 4-6 weeks),Calbert Cheaney,Nuggets
,2001-10-19,chip fracture of fifth metatarsal in right foot (out 4-6 weeks),Mike Miller,Magic
,2001-10-22,arthroscopic surgery on right knee to repair torn lateral meniscus (out 4-6 weeks),Darvin Ham,Bucks
,2001-10-22,broken left ring finger (out 4 weeks),Shammond Williams,Sonics
,2001-10-23,"surgery on broken left thumb to insert a plate, 2 pins, & 5 screws (out 3 months)",Eric Snow,76ers
,2001-10-26,sprained left ankle (out 2-3 weeks),Andrew DeClercq,Magic
,2001-10-26,broken right foot (out 3 months),Brian Scalabrine,Nets
,2001-10-27,fractured left big toe (out indefinitely),Eddie Robinson,Bulls
,2001-10-29,surgery on broken right foot in insert screw (out 2-3 months),Brian Scalabrine,Nets
,2001-10-30,recovering from surgery on right shoulder (DNP),Aaron McKie,76ers
,2001-10-30,recovering from surgery on right elbow (DNP),Allen Iverson,76ers
,2001-10-30,surgery on left foot to repair fractured fifth metatarsal (out 2-3 months),George Lynch,Hornets
,2001-10-30,back spasms (DNP),Adrian Griffin,Mavericks
,2001-10-30,sprained right ankle (DNP),Iakovos Tsakalidis / Jake Tsakalidis,Suns
,2001-10-31,sprained right ankle (DNP),Derek Anderson,Blazers
,2001-10-31,sprained left knee (DNP),DeSagana Diop,Cavaliers
,2001-10-31,flu (DNP),Primoz Brezec,Pacers
,2001-11-01,recovering from surgery on right shoulder (DNP),Aaron McKie,76ers
,2001-11-01,recovering from surgery on right elbow (DNP),Allen Iverson,76ers
,2001-11-01,back spasms (DNP),Adrian Griffin,Mavericks
,2001-11-01,sprained right ankle (DNP),Greg Buckner,Mavericks
,2001-11-01,sprained right ankle (DNP),Kwame Brown,Wizards
,2001-11-02,sprained left knee (DNP),DeSagana Diop,Cavaliers
,2001-11-02,strained lower back (DNP),Lamond Murray,Cavaliers
,2001-11-02,flu (DNP),Brevin Knight,Grizzlies
,2001-11-02,back spasms (DNP),Adrian Griffin,Mavericks
,2001-11-02,sprained right ankle (DNP),Greg Buckner,Mavericks
,2001-11-02,strained right calf (DNP),Tony Delk,Suns
,2001-11-03,recovering from surgery on right shoulder (DNP),Aaron McKie,76ers
,2001-11-03,recovering from surgery on right elbow (DNP),Allen Iverson,76ers
,2001-11-03,sprained right ankle (DNP),Derek Anderson,Blazers
,2001-11-03,strained left knee (DNP),DeSagana Diop,Cavaliers
,2001-11-03,left knee tendinitis (DNP),Eric Williams,Celtics
,2001-11-03,strained right hip flexor and groin (DNP),Theo Ratliff,Hawks
,2001-11-03,strained left hamstring (DNP),Rod Strickland,Heat
,2001-11-03,sprained right ankle (DNP),Sean Marks,Heat
,2001-11-03,sprained right ankle (DNP),Calvin Booth,Sonics
,2001-11-03,sinus infection (DNP),Etan Thomas,Wizards
,2001-11-04,back spasms (DNP),Adrian Griffin,Mavericks
,2001-11-04,back spasms (DNP),Dirk Nowitzki,Mavericks
,2001-11-04,sprained right ankle (DNP),Greg Buckner,Mavericks
,2001-11-04,strained right calf (DNP),Tony Delk,Suns
,2001-11-04,sprained right ankle (DNP),Kwame Brown,Wizards
,2001-11-05,strained left hip (DNP),Sean Rooks,Clippers
,2001-11-06,recovering from surgery on right shoulder (DNP),Aaron McKie,76ers
,2001-11-06,recovering from surgery on right elbow (DNP),Allen Iverson,76ers
,2001-11-06,right knee tendinitis (DNP),Damon Stoudamire,Blazers
,2001-11-06,strained left knee (DNP),DeSagana Diop,Cavaliers
,2001-11-06,right hip flexor injury (DNP),Bryant Stith,Cavaliers
,2001-11-06,sore left ankle (DNP),Stromile Swift,Grizzlies
,2001-11-06,food poisoning (DNP),Alonzo Mourning,Heat
,2001-11-06,broken left pinky finger (out indefinitely),Kendall Gill,Heat
,2001-11-06,strained right hamstring (DNP),Rod Strickland,Heat
,2001-11-06,sprained right knee (DNP),Pat Garrity,Magic
,2001-11-06,sprained right ankle / back spasms (P) (DNP),Greg Buckner,Mavericks
,2001-11-06,right knee patella tendinitis (DNP),Antonio Harvey,Sonics
,2001-11-07,sprained left knee (DNP),DeSagana Diop,Cavaliers
,2001-11-07,left knee tendinitis (DNP),Eric Williams,Celtics
,2001-11-07,right groin injury (DNP),Michael Dickerson,Grizzlies
,2001-11-07,sprained right ankle (DNP),Nick Anderson,Grizzlies
,2001-11-07,sprained left ankle (DNP),Stromile Swift,Grizzlies
,2001-11-07,hamstring injury (DNP),DerMarr Johnson,Hawks
,2001-11-07,sinus infection (DNP),Etan Thomas,Wizards
,2001-11-07,sprained right ankle (DNP),Kwame Brown,Wizards
,2001-11-08,recovering from surgery on right elbow (DNP),Allen Iverson,76ers
,2001-11-08,knee injury (DNP),Matt Geiger,76ers
,2001-11-08,right knee tendinitis (DNP),Damon Stoudamire,Blazers
,2001-11-08,hamstring injury (DNP),Jason Terry,Hawks
,2001-11-08,food poisoning (DNP),Alonzo Mourning,Heat
,2001-11-08,broken left pinky finger (DNP),Kendall Gill,Heat
,2001-11-08,back spasms (DNP),Adrian Griffin,Mavericks
,2001-11-08,sprained ankle (DNP),Greg Buckner,Mavericks
,2001-11-08,right knee patella tendinitis (DNP),Antonio Harvey,Sonics
,2001-11-08,sprained right ankle (DNP),Calvin Booth,Sonics
,2001-11-09,left knee infrapatella tendinitis (DNP),Eric Williams,Celtics
,2001-11-09,surgery on broken left pinky finger (out 4-6 weeks),Kendall Gill,Heat
,2001-11-09,right knee patella tendinitis (DNP),Antonio Harvey,Sonics
,2001-11-09,sprained right ankle (DNP),Calvin Booth,Sonics
,2001-11-10,back spasms (DNP),Craig Claxton / Speedy Claxton,76ers
,2001-11-10,sprained left knee (DNP),DeSagana Diop,Cavaliers
,2001-11-10,torn ACL in left knee (out for season),Chris Crawford (a),Hawks
,2001-11-10,back spasms (DNP),Adrian Griffin,Mavericks
,2001-11-10,sprained ankle (DNP),Greg Buckner,Mavericks
,2001-11-11,bruised left knee (DNP),Vin Baker,Sonics
